full_text,case_folding CPMK2,preprocessing CPMK3,final_label,preprocessing,label,confidence
fish nambah pulau tapi gue belom dikasih secret lagi sama talon kikir,fish nambah pulau tapi gue belom dikasih secret lagi sama talon kikir,nambah pulau kasih secret talon kikir,negative,nambah pulau kasih secret talon kikir,,0.3996183054231796
kok map fish aku gabisa dibuka ada yang taww tak,kok map fish aku gabisa dibuka ada yang taww tak,map tidak bisa buka taww,negative,map tidak bisa buka taww,,0.44809911374191463
daegunxml forgotten temple kak bukan fish,daegunxml forgotten temple kak bukan fish,daegunxml forgotten temple,negative,daegunxml forgotten temple,,0.4116241509474302
roblox ada yang ngalamin juga pancingan ilang per updatean baru fish solusinya bagaimana coba drop komentar https //t.co/9mqttjnzuh,roblox ada yang ngalamin juga pancingan ilang per updatean baru fish solusinya bagaimana coba drop komentar https //t.co/9mqttjnzuh,roblox ngalamin pancing ilang updatean solusi coba drop komentar mqttjnzuh,positive,roblox ngalamin pancing ilang updatean solusi coba drop komentar mqttjnzuh,,0.49825747857009994
gamau main fish lagi ahh mending dress impress,gamau main fish lagi ahh mending dress impress,main ahh dress impress,positive,main ahh dress impress,,0.4685730039316457
lama tidak main fish sekalinya masuk banyak bug anjing,lama tidak main fish sekalinya masuk banyak bug anjing,main sekali masuk bug,negative,main sekali masuk bug,,0.42504720704450794
trade fish kapan bisa lagi guys,trade fish kapan bisa lagi guys,trade,positive,trade,,0.4097642030424999
gusy tunjukin bentuk batu lever fish dong apakah nnti munculnya item kaya enchant batu roblox,gusy tunjukin bentuk batu lever fish dong apakah nnti munculnya item kaya enchant batu roblox,gusy tunjukin bentuk batu lever nnti muncul item kaya enchant batu roblox,positive,gusy tunjukin bentuk batu lever nnti muncul item kaya enchant batu roblox,,0.4161858502528385
want ask guccy buat fish ini kenapa perahu burger tidak bisa spawn https //t.co/uhr9kdo2xn,want ask guccy buat fish ini kenapa perahu burger tidak bisa spawn https //t.co/uhr9kdo2xn,want ask guccy perahu burger spawn uhr kdo,positive,want ask guccy perahu burger spawn uhr kdo,,0.4638516278447825
ajarin fish tolong https //t.co/qbi2bdapo3,ajarin fish tolong https //t.co/qbi2bdapo3,ajarin qbi bdapo,positive,ajarin qbi bdapo,,0.5353409894189484
bahaya ini fish,bahaya ini fish,bahaya,negative,bahaya,,0.4116241509474302
banget liat updatean fish ada pancingan baru tapi harus dpt ghostfin laahh aku ghostfin aja belum dapet,banget liat updatean fish ada pancingan baru tapi harus dpt ghostfin laahh aku ghostfin aja belum dapet,lihat updatean pancing ghostfin laahh ghostfin,positive,lihat updatean pancing ghostfin laahh ghostfin,,0.4352609002336542
abis liat orang lagi nikah pelaminan tetep afk fish,abis liat orang lagi nikah pelaminan tetep afk fish,habis lihat orang nikah pelamin tetep away from keyboard,negative,habis lihat orang nikah pelamin tetep away from keyboard,,0.3605026549268117
mending jgn main fish sender,mending jgn main fish sender,main,positive,main,,0.4685730039316457
tidak mereun yakali anjing main rosblok mana sering stay fish https //t.co/ivd7efjvik,tidak mereun yakali anjing main rosblok mana sering stay fish https //t.co/ivd7efjvik,mereun yakali main rosblok stay ivd efjvik,positive,mereun yakali main rosblok stay ivd efjvik,,0.4685730039316457
avrcherry dyinstorms mau kesana kaah aku belum masuk fish lagii tertawa lucu tapi itu,avrcherry dyinstorms mau kesana kaah aku belum masuk fish lagii tertawa lucu tapi itu,avrcherry dyinstorms kesana kaah masuk lagi tawa lucu,positive,avrcherry dyinstorms kesana kaah masuk lagi tawa lucu,,0.5288057048785095
mencoba memberikan second chance fish awas aja sampai kamu mengecewakan aku lagi talon,mencoba memberikan second chance fish awas aja sampai kamu mengecewakan aku lagi talon,coba second chance awas kecewa talon,negative,coba second chance awas kecewa talon,,0.5451714832722976
euchnoia avrcherry map baru itu tadi lihat update fish belum explore deh,euchnoia avrcherry map baru itu tadi lihat update fish belum explore deh,euchnoia avrcherry map lihat update explore,positive,euchnoia avrcherry map lihat update explore,,0.5387633133184865
euchnoia dyinstorms cuman loop ini aja yang lagi bahas roblox sekalian beb wkwkwkwk ada maps baru fish gituu,euchnoia dyinstorms cuman loop ini aja yang lagi bahas roblox sekalian beb wkwkwkwk ada maps baru fish gituu,euchnoia dyinstorms loop bahas roblox beb wkwkwkwk maps gituu,positive,euchnoia dyinstorms loop bahas roblox beb wkwkwkwk maps gituu,,0.46242264410763323
want ask ini map fish basru yang underground cellar sempet kebuka kok sekarang ketutup lagi,want ask ini map fish basru yang underground cellar sempet kebuka kok sekarang ketutup lagi,want ask map basru underground cellar sempet buka tutup,positive,want ask map basru underground cellar sempet buka tutup,,0.45706920502566944
ini kapan bisa trade sudah fish,ini kapan bisa trade sudah fish,trade,positive,trade,,0.4097642030424999
ouseaann kamu dedemit fish,ouseaann kamu dedemit fish,ouseaann dedemit,negative,ouseaann dedemit,,0.4116241509474302
gue sampai cari tutorial ngasih ikan fish tiktok ‍️‍️‍️,gue sampai cari tutorial ngasih ikan fish tiktok ‍️‍️‍️,cari tutorial ngasih tiktok,negative,cari tutorial ngasih tiktok,,0.4097208567471618
gumoh banget anjing main fish,gumoh banget anjing main fish,gumoh main,positive,gumoh main,,0.4685730039316457
anjing kapan trade fish ini bisa lagi mau gila anjing afk nyari duit mana isle kgk pulang2,anjing kapan trade fish ini bisa lagi mau gila anjing afk nyari duit mana isle kgk pulang2,trade gila away from keyboard cari duit isle kgk pulang,negative,trade gila away from keyboard cari duit isle kgk pulang,,0.3678922625056356
aku sudah dua kali mimpi fish,aku sudah dua kali mimpi fish,mimpi,negative,mimpi,,0.5561528202025561
alamak main tidak mood main fish misi ghostfin aja belom kelar kelar,alamak main tidak mood main fish misi ghostfin aja belom kelar kelar,alamak main mood main misi ghostfin kelar kelar,negative,alamak main mood main misi ghostfin kelar kelar,,0.4526142226597209
fineshyiit itu buka fish,fineshyiit itu buka fish,fineshyiit buka,negative,fineshyiit buka,,0.4474114714209856
roblox fish artifactnya ini sekali pake sekali masuk atau cuma sekali cari/taruh untuk selamanya,roblox fish artifactnya ini sekali pake sekali masuk atau cuma sekali cari/taruh untuk selamanya,roblox artifactnya pakai masuk cari taruh,positive,roblox artifactnya pakai masuk cari taruh,,0.44810181676015287
kapan bisa dapet secret fish,kapan bisa dapet secret fish,secret,positive,secret,,0.5414809382830879
etnfp aku juga masih tapi sudah lama tidak aku mainin fish,etnfp aku juga masih tapi sudah lama tidak aku mainin fish,etnfp mainin,negative,etnfp mainin,,0.4116241509474302
sudah pensiun fish kak,sudah pensiun fish kak,pensiun,negative,pensiun,,0.37964745873476796
ini kepala stres banget mainin fish apa gue potong aja kepalanya,ini kepala stres banget mainin fish apa gue potong aja kepalanya,kepala stres mainin potong kepala,negative,kepala stres mainin potong kepala,,0.6969685836336413
kena penyakit mancing gila fish,kena penyakit mancing gila fish,sakit pancing gila,negative,sakit pancing gila,,0.6540681869966968
roblox yang main fish bolehkah angkut aku privat server kalian yang rajin nyalain cuaca ges sebel banget ternyata sender server sama yang pake script,roblox yang main fish bolehkah angkut aku privat server kalian yang rajin nyalain cuaca ges sebel banget ternyata sender server sama yang pake script,roblox main angkut privat server rajin nyala cuaca ges sebel server pakai script,positive,roblox main angkut privat server rajin nyala cuaca ges sebel server pakai script,,0.47286708074806716
ayoo kalau sibuk main fish kalau luang lebih seru grinding fisch fish tidak ada telatnya sihh kalau fisch ada bbrp pancingan yang sudah tidak obtainable minusnya,ayoo kalau sibuk main fish kalau luang lebih seru grinding fisch fish tidak ada telatnya sihh kalau fisch ada bbrp pancingan yang sudah tidak obtainable minusnya,ayoo sibuk main luang seru grinding fisch telat sihh fisch bbrp pancing obtainable minus,positive,ayoo sibuk main luang seru grinding fisch telat sihh fisch bbrp pancing obtainable minus,,0.4615103084632176
sejam telponan sama arthur obrolin stock pasar fish,sejam telponan sama arthur obrolin stock pasar fish,jam telpon arthur obrolin stock pasar,negative,jam telpon arthur obrolin stock pasar,,0.5076425090150414
fish sudah bisa trade belum guys,fish sudah bisa trade belum guys,trade,positive,trade,,0.4097642030424999
sudah tidak tertarik main fish lagi,sudah tidak tertarik main fish lagi,tarik main,positive,tarik main,,0.46507180807174314
ini gwe bngtt seperti sudah aja kali main fish ini capee kali allah mau fokus joget joget aja aku,ini gwe bngtt seperti sudah aja kali main fish ini capee kali allah mau fokus joget joget aja aku,gwe bngtt main capee allah fokus joget joget,negative,gwe bngtt main capee allah fokus joget joget,,0.43609414900935306
lah fish ada pulau baru terus ada quest nya,lah fish ada pulau baru terus ada quest nya,pulau quest,positive,pulau quest,,0.4279626652089546
fish map baruu,fish map baruu,map,positive,map,,0.5049338470716894
selfiqsh info dong aku udahan main fish game rusak,selfiqsh info dong aku udahan main fish game rusak,selfiqsh informasi udahan main game rusak,positive,selfiqsh informasi udahan main game rusak,,0.4487813590451537
fish sudah masuk mimpi️ mimpi narik secret,fish sudah masuk mimpi️ mimpi narik secret,masuk mimpi mimpi tarik secret,negative,masuk mimpi mimpi tarik secret,,0.4783033650913886
beban hidup gue nambah satu krna ada obby fish anjrlsshh infokan cara jago loncat,beban hidup gue nambah satu krna ada obby fish anjrlsshh infokan cara jago loncat,beban hidup nambah obby anjrlsshh info jago loncat,positive,beban hidup nambah obby anjrlsshh info jago loncat,,0.4484079050908638
kocak banget satu friendlist fish semua https //t.co/faxyp1ygia,kocak banget satu friendlist fish semua https //t.co/faxyp1ygia,kocak friendlist faxyp ygia,negative,kocak friendlist faxyp ygia,,0.4646619472653039
aku ada buat tentang rangkuman fish new update tiktok gezz sebenernya lebih tentang pancingan baru sama quest lever buat buka sacred temple https //t.co/qnhhqxaa4h,aku ada buat tentang rangkuman fish new update tiktok gezz sebenernya lebih tentang pancingan baru sama quest lever buat buka sacred temple https //t.co/qnhhqxaa4h,rangkum new update tiktok gezz sebenernya pancing quest lever buka sacred temple qnhhqxaa,positive,rangkum new update tiktok gezz sebenernya pancing quest lever buka sacred temple qnhhqxaa,,0.4250297953720773
halloo disini ada yang main fish dan mau advanced luck tidak aku sempet nazar kalau dpt secret sisyphus mau kasih robux atau salah satu yang ada exclusive store orang lain,halloo disini ada yang main fish dan mau advanced luck tidak aku sempet nazar kalau dpt secret sisyphus mau kasih robux atau salah satu yang ada exclusive store orang lain,halloo main advanced luck sempet nazar secret sisyphus robux salah exclusive store orang,negative,halloo main advanced luck sempet nazar secret sisyphus robux salah exclusive store orang,,0.3843106072297423
fish=ikan it=itu fish justru itu letak stres nya,fish=ikan it=itu fish justru itu letak stres nya,letak stres,negative,letak stres,,0.6969685836336413
butuh tour guide map baru fish,butuh tour guide map baru fish,butuh tour guide map,positive,butuh tour guide map,,0.4303109612902326
hattamaulana07 nda bisa tertawa bukan fish ini kan dia ada bar lapernyaa,hattamaulana07 nda bisa tertawa bukan fish ini kan dia ada bar lapernyaa,hattamaulana nda tawa bar lapernyaa,negative,hattamaulana nda tawa bar lapernyaa,,0.4090623233724506
mrgeneraal sudah kena penyakit fish,mrgeneraal sudah kena penyakit fish,mrgeneraal sakit,negative,mrgeneraal sakit,,0.5768439438923286
gembel makin sulit aja hidup fish,gembel makin sulit aja hidup fish,gembel sulit hidup,positive,gembel sulit hidup,,0.4304753306971765
cutelattesz idk aku juga pernah semingguan main fish terus sampai akhirnya muak sendiri,cutelattesz idk aku juga pernah semingguan main fish terus sampai akhirnya muak sendiri,cutelattesz idk minggu main muak,negative,cutelattesz idk minggu main muak,,0.6483708412596627
jika ada tema fish bangunin opa,jika ada tema fish bangunin opa,tema bangunin opa,negative,tema bangunin opa,,0.4116241509474302
game gila apa gue pensiun aja dari fish https //t.co/7kvmvds251,game gila apa gue pensiun aja dari fish https //t.co/7kvmvds251,game gila pensiun kvmvds,negative,game gila pensiun kvmvds,,0.6193893768155458
bisa naik gunung belum tentu bisa parkour fish wkowwkwowkwo,bisa naik gunung belum tentu bisa parkour fish wkowwkwowkwo,gunung parkour wkowwkwowkwo,negative,gunung parkour wkowwkwowkwo,,0.47735233366675567
ges roblox ada yang tau lokasi sacred temple fish thx,ges roblox ada yang tau lokasi sacred temple fish thx,ges roblox lokasi sacred temple thx,positive,ges roblox lokasi sacred temple thx,,0.5328560022932604
info update terbaru baru fish masuk dulu map ancient jungle buat double enchant lokasinya ada temple pintu biru dari pintu belok kanan terus naik tangga situ ada npc tinggal ajak ngobrol kasih secret terus bisa langsung enchant sebelahnya,info update terbaru baru fish masuk dulu map ancient jungle buat double enchant lokasinya ada temple pintu biru dari pintu belok kanan terus naik tangga situ ada npc tinggal ajak ngobrol kasih secret terus bisa langsung enchant sebelahnya,informasi update baru masuk map ancient jungle double enchant lokasi temple pintu biru pintu belok kanan tangga situ npc tinggal ajak ngobrol secret langsung enchant belah,positive,informasi update baru masuk map ancient jungle double enchant lokasi temple pintu biru pintu belok kanan tangga situ npc tinggal ajak ngobrol secret langsung enchant belah,,0.5307005124027999
udahlah malas main fish sudah susah secret naik ini double enchant malah ngorbanin secret talon asu babi,udahlah malas main fish sudah susah secret naik ini double enchant malah ngorbanin secret talon asu babi,udahlah malas main susah secret double enchant ngorbanin secret talon asu babi,positive,udahlah malas main susah secret double enchant ngorbanin secret talon asu babi,,0.39987311215837695
ini seputar tutorial update fish terbaru gais dapet dari discord warga indo dcnya pis tapi tetep aja aku hah hoh buta arah menunggu tutor orang tiktok ajala aku https //t.co/auc9sucnqh,ini seputar tutorial update fish terbaru gais dapet dari discord warga indo dcnya pis tapi tetep aja aku hah hoh buta arah menunggu tutor orang tiktok ajala aku https //t.co/auc9sucnqh,putar tutorial update baru gais discord warga indo dcnya pis tetep hah hoh buta arah tunggu tutor orang tiktok ajala auc sucnqh,positive,putar tutorial update baru gais discord warga indo dcnya pis tetep hah hoh buta arah tunggu tutor orang tiktok ajala auc sucnqh,,0.49288649926008965
tadi bangun tidur terus scroll tiktok dan lewat fyp ternyata sudah update fish yang double enchant,tadi bangun tidur terus scroll tiktok dan lewat fyp ternyata sudah update fish yang double enchant,bangun tidur scroll tiktok fyp update double enchant,positive,bangun tidur scroll tiktok fyp update double enchant,,0.4206177252303608
pipsquack_ ogah gue kena penyakit fish gila,pipsquack_ ogah gue kena penyakit fish gila,pipsquack ogah sakit gila,negative,pipsquack ogah sakit gila,,0.6775203258784925
beneran tamat fish gue tidak segila itu buat bikin alt account afk jam demi secret,beneran tamat fish gue tidak segila itu buat bikin alt account afk jam demi secret,beneran tamat gila alt account away from keyboard jam secret,negative,beneran tamat gila alt account away from keyboard jam secret,,0.42461857577711565
fish ada yang tau lever buat buka gerbang jungle,fish ada yang tau lever buat buka gerbang jungle,lever buka gerbang jungle,negative,lever buka gerbang jungle,,0.47732914985570135
informasi update terbaru game fish roblox pulau baru misi baru ikan baru fitur baru enchant baru misi baru yang dalem goa harus sudah punya ghostfinn https //t.co/7ewkihh4yu,informasi update terbaru game fish roblox pulau baru misi baru ikan baru fitur baru enchant baru misi baru yang dalem goa harus sudah punya ghostfinn https //t.co/7ewkihh4yu,informasi update baru game roblox pulau misi fitur enchant misi dalem goa ghostfinn ewkihh,positive,informasi update baru game roblox pulau misi fitur enchant misi dalem goa ghostfinn ewkihh,,0.5234678017523745
absen siapa yang sudah double enchant fish roblox dapetnya apa guys https //t.co/azzvxkzzbf,absen siapa yang sudah double enchant fish roblox dapetnya apa guys https //t.co/azzvxkzzbf,absen double enchant roblox dapetnya azzvxkzzbf,positive,absen double enchant roblox dapetnya azzvxkzzbf,,0.5106302718347241
sampai fish update pulau baru secret belum naek naek guah,sampai fish update pulau baru secret belum naek naek guah,update pulau secret naek naek guah,positive,update pulau secret naek naek guah,,0.5035676189275041
pagi pagi misuhin fish,pagi pagi misuhin fish,pagi pagi misuhin,positive,pagi pagi misuhin,,0.5166342288636457
winddliner lebih penting evernight daripada konten fish,winddliner lebih penting evernight daripada konten fish,winddliner evernight konten,negative,winddliner evernight konten,,0.4116241509474302
fish uda bisa trade kah,fish uda bisa trade kah,trade,positive,trade,,0.4097642030424999
lautisocean wkwkw semua demi fish,lautisocean wkwkw semua demi fish,lautisocean wkwkw,negative,lautisocean wkwkw,,0.4116241509474302
illbitcozycrew i_m_cacas kak 6pm fish kebuka,illbitcozycrew i_m_cacas kak 6pm fish kebuka,illbitcozycrew i m cacas buka,negative,illbitcozycrew i m cacas buka,,0.4474114714209856
pake baju daleman bagaimana biar fish pake baju,pake baju daleman bagaimana biar fish pake baju,pakai baju dalem pakai baju,negative,pakai baju dalem pakai baju,,0.4867891487594937
fish banyak banget konten https //t.co/luetkfcfyp,fish banyak banget konten https //t.co/luetkfcfyp,konten luetkfcfyp,negative,konten luetkfcfyp,,0.4116241509474302
nama kapal baru fish sharki seperti kenal tidak sih tertawa,nama kapal baru fish sharki seperti kenal tidak sih tertawa,nama kapal sharki kenal tawa,negative,nama kapal sharki kenal tawa,,0.4503451457466388
roblox ges ini kenapa aku gabisa join fish padahal tidak ngapa2in cuman afk doang talon kocakk https //t.co/q0dmhsoyay,roblox ges ini kenapa aku gabisa join fish padahal tidak ngapa2in cuman afk doang talon kocakk https //t.co/q0dmhsoyay,roblox ges tidak bisa join ngapa away from keyboard talon kocakk dmhsoyay,positive,roblox ges tidak bisa join ngapa away from keyboard talon kocakk dmhsoyay,,0.38078167003316116
illbitcozycrew i_m_cacas ini fish sudah petang pintu masih tutup,illbitcozycrew i_m_cacas ini fish sudah petang pintu masih tutup,illbitcozycrew i m cacas petang pintu tutup,positive,illbitcozycrew i m cacas petang pintu tutup,,0.43256165654079254
mylifeascarat i_m_cacas iya kahh soalnya aku juga belum keluar ini kakk katanya tadi ada yang bilang bukanya pas malam aja tapi tidak tau malam jam fish apa jam malam dikita,mylifeascarat i_m_cacas iya kahh soalnya aku juga belum keluar ini kakk katanya tadi ada yang bilang bukanya pas malam aja tapi tidak tau malam jam fish apa jam malam dikita,mylifeascarat i m cacas kahh bilang buka malam malam jam jam malam kita,negative,mylifeascarat i m cacas kahh bilang buka malam malam jam jam malam kita,,0.44470930864818986
guyss ini kenapa aku gabisa join fish sedih https //t.co/4tsa5mmsud,guyss ini kenapa aku gabisa join fish sedih https //t.co/4tsa5mmsud,guyss tidak bisa join sedih tsa mmsud,negative,guyss tidak bisa join sedih tsa mmsud,,0.48844568934912547
pantes suka fish soalnya basicnya mengadu nasib gitu iykyk,pantes suka fish soalnya basicnya mengadu nasib gitu iykyk,pantes suka basicnya adu nasib iykyk,positive,pantes suka basicnya adu nasib iykyk,,0.6349611009129261
roblox pas jaman2 gag kemarin kyknya banyak yang protes karena isi base gag semua boleh tidak kalau diterapinndi fish yang mau cari temen/info main bareng ketimbun karena dikit2 fish,roblox pas jaman2 gag kemarin kyknya banyak yang protes karena isi base gag semua boleh tidak kalau diterapinndi fish yang mau cari temen/info main bareng ketimbun karena dikit2 fish,roblox jaman kemarin kyknya protes isi base diterapinndi cari teman informasi main bareng timbun dikit,positive,roblox jaman kemarin kyknya protes isi base diterapinndi cari teman informasi main bareng timbun dikit,,0.6218581168164333
semua orang main fish,semua orang main fish,orang main,negative,orang main,,0.547216096056685
akan aku daki semua gunung demi menghindari fish,akan aku daki semua gunung demi menghindari fish,gunung hindar,negative,gunung hindar,,0.47735233366675567
bagaimana cara masuk update baruu temple fish roblox guyss,bagaimana cara masuk update baruu temple fish roblox guyss,masuk update temple roblox guyss,positive,masuk update temple roblox guyss,,0.5905021340392114
fish roblox kok ini kapal malah melayang pas mau spawn https //t.co/9q8rwmlsrm,fish roblox kok ini kapal malah melayang pas mau spawn https //t.co/9q8rwmlsrm,roblox kapal layang spawn rwmlsrm,positive,roblox kapal layang spawn rwmlsrm,,0.5313040528869198
fish gehelo lever done ges yakk https //t.co/mqriswylzm,fish gehelo lever done ges yakk https //t.co/mqriswylzm,gehelo lever done ges yakk mqriswylzm,negative,gehelo lever done ges yakk mqriswylzm,,0.4116241509474302
cara masuk kuil pulau baru fish bagaimana sih gusy tuasnyaa dimana tempatnya roblox,cara masuk kuil pulau baru fish bagaimana sih gusy tuasnyaa dimana tempatnya roblox,masuk kuil pulau gusy tuasnyaa tempat roblox,positive,masuk kuil pulau gusy tuasnyaa tempat roblox,,0.508015231120878
rsosier gue bikin akun baru khusus fish,rsosier gue bikin akun baru khusus fish,rsosier akun khusus,negative,rsosier akun khusus,,0.39807711003661594
fish diundur lagi updatenya,fish diundur lagi updatenya,undur updatenya,negative,undur updatenya,,0.4116241509474302
emg buat ngasi gift fish ada ketentuannya kah join server temenku trus ada yang deketin aku kutanya kenapa kak dijawab sama kakaknya oalah belum bisa digift belum dibuka sama talon nya itu maksudnya bagaimana guys,emg buat ngasi gift fish ada ketentuannya kah join server temenku trus ada yang deketin aku kutanya kenapa kak dijawab sama kakaknya oalah belum bisa digift belum dibuka sama talon nya itu maksudnya bagaimana guys,ngasi gift tentu join server teman aku trus deketin kuta kakak oalah digift buka talon maksud,positive,ngasi gift tentu join server teman aku trus deketin kuta kakak oalah digift buka talon maksud,,0.4171142396808364
iiburan aku sudah resmi hiatus fish dari kemaren soalnya redfingernya abis aowlwowowok,iiburan aku sudah resmi hiatus fish dari kemaren soalnya redfingernya abis aowlwowowok,iiburan resmi hiatus kemaren redfingernya habis aowlwowowok,negative,iiburan resmi hiatus kemaren redfingernya habis aowlwowowok,,0.4593891987078308
kanye fish dicks but fih dih,kanye fish dicks but fih dih,kanye dicks but fih dih,negative,kanye dicks but fih dih,,0.4116241509474302
gue sudah hari tidak main fish karena muak tidak pernah dapet secret,gue sudah hari tidak main fish karena muak tidak pernah dapet secret,main muak secret,negative,main muak secret,,0.4994105706340653
roblox fish guys maaf kenapa pada seneng banget mancing deketin user lain deket banget pokoknya padahal tidak kenal apalagi pake skin yang baru itu bikin silau jadinya kalau jauhan mah aman2 aja ini nempel banget bukannya hoki2an tidak peduli spot,roblox fish guys maaf kenapa pada seneng banget mancing deketin user lain deket banget pokoknya padahal tidak kenal apalagi pake skin yang baru itu bikin silau jadinya kalau jauhan mah aman2 aja ini nempel banget bukannya hoki2an tidak peduli spot,roblox maaf neng pancing deketin user deket pokok kenal pakai skin silau jauh aman nempel hoki peduli spot,positive,roblox maaf neng pancing deketin user deket pokok kenal pakai skin silau jauh aman nempel hoki peduli spot,,0.45622750790222644
txtdariafa lebih sering gambar rafa celana bolong daripada dapet secret fish,txtdariafa lebih sering gambar rafa celana bolong daripada dapet secret fish,txtdariafa gambar rafa celana bolong secret,positive,txtdariafa gambar rafa celana bolong secret,,0.5414809382830879
kamu bunuhdiri fish heheh,kamu bunuhdiri fish heheh,bunuhdiri heheh,negative,bunuhdiri heheh,,0.4116241509474302
teman gue baru main fish kemarin langsung dpet 1/500k jink caughtnya blum nyampe 5.00an,teman gue baru main fish kemarin langsung dpet 1/500k jink caughtnya blum nyampe 5.00an,teman main kemarin langsung jink caughtnya blum nyampe,negative,teman main kemarin langsung jink caughtnya blum nyampe,,0.3964666660108049
lupa update akhirnya day dapet mitos amp malah dispamm ikan jele itu akhirnya bisa melihat matahari fish https //t.co/umjcylokxq,lupa update akhirnya day dapet mitos amp malah dispamm ikan jele itu akhirnya bisa melihat matahari fish https //t.co/umjcylokxq,lupa update day mitos dispamm jele matahari umjcylokxq,positive,lupa update day mitos dispamm jele matahari umjcylokxq,,0.5199370326883387
slmt aku sudah sehari tidak login fish capek banget,slmt aku sudah sehari tidak login fish capek banget,slmt hari login capek,negative,slmt hari login capek,,0.5267638539290428
roblox lama lama kita yang dikerjain sama ini talon babi katanya update fish jam 4.45 tapi delay lagi 4.55 terus delay lagi 5.00 delay aja terus anjing,roblox lama lama kita yang dikerjain sama ini talon babi katanya update fish jam 4.45 tapi delay lagi 4.55 terus delay lagi 5.00 delay aja terus anjing,roblox dikerjain talon babi update jam delay delay delay,negative,roblox dikerjain talon babi update jam delay delay delay,,0.40473889465077567
its_rex46 bhiayy caranya bagaimana kok discord fish tidak ada https //t.co/ky5cjse9b9,its_rex46 bhiayy caranya bagaimana kok discord fish tidak ada https //t.co/ky5cjse9b9,its rex bhiayy discord cjse,positive,its rex bhiayy discord cjse,,0.5198789769295356
mana ini fish belum apdet dobel enchant buruan itu megalodon nelponin gue mulu lon talon,mana ini fish belum apdet dobel enchant buruan itu megalodon nelponin gue mulu lon talon,apdet dobel enchant buru megalodon nelponin lon talon,positive,apdet dobel enchant buru megalodon nelponin lon talon,,0.4358371016311497
apasih njir update fish mundur mulu,apasih njir update fish mundur mulu,apasih njir update mundur,positive,apasih njir update mundur,,0.5407373244627931
txtfromroblox fish kah kalau iya join aja sini nanti bakal ada boost ges https //t.co/tkhb7y3fm3,txtfromroblox fish kah kalau iya join aja sini nanti bakal ada boost ges https //t.co/tkhb7y3fm3,join boost ges tkhb,negative,join boost ges tkhb,,0.42166997961040015
yang ngajak antartika yang ngajak fish yang ngajak fisch bagi tiga aja gaksi gueteh,yang ngajak antartika yang ngajak fish yang ngajak fisch bagi tiga aja gaksi gueteh,ngajak antartika ngajak ngajak fisch gaksi gueteh,negative,ngajak antartika ngajak ngajak fisch gaksi gueteh,,0.44675677226728416
ini map fish kah kamu pake script kah kalau pake script jelas bann,ini map fish kah kamu pake script kah kalau pake script jelas bann,map pakai script pakai script bann,negative,map pakai script pakai script bann,,0.44287496972450163
sudah kena ini psikis gue jam segini kebangun lgsg isi tas hasil pancingan kami adalah pejuang lautan fish https //t.co/gqdmuqymlo,sudah kena ini psikis gue jam segini kebangun lgsg isi tas hasil pancingan kami adalah pejuang lautan fish https //t.co/gqdmuqymlo,psikis jam gin bangun lgsg isi tas hasil pancing juang laut gqdmuqymlo,negative,psikis jam gin bangun lgsg isi tas hasil pancing juang laut gqdmuqymlo,,0.4464094185251031
sumpah gue ketiduran dua jam gitu sambil main fish batre gue dari jadi ajgg terus liat lah ikan yang gue tangkep sampai 800 https //t.co/y94w8y4bd6,sumpah gue ketiduran dua jam gitu sambil main fish batre gue dari jadi ajgg terus liat lah ikan yang gue tangkep sampai 800 https //t.co/y94w8y4bd6,sumpah tidur jam main batre ajgg lihat tangkep,negative,sumpah tidur jam main batre ajgg lihat tangkep,,0.5558973892556643
reska__ main pvb dan fish ajhh https //t.co/tsyk9fodgl,reska__ main pvb dan fish ajhh https //t.co/tsyk9fodgl,reska main pvb ajhh tsyk fodgl,positive,reska main pvb ajhh tsyk fodgl,,0.4685730039316457
mauu tapi aku main fish aja bibbie31,mauu tapi aku main fish aja bibbie31,mauu main bibbie,positive,mauu main bibbie,,0.4685730039316457
ingat login fish selalu sehabis jogging tandanya sudah kronis https //t.co/umbrinn64j,ingat login fish selalu sehabis jogging tandanya sudah kronis https //t.co/umbrinn64j,login habis jogging tanda kronis umbrinn,negative,login habis jogging tanda kronis umbrinn,,0.4843862847228401
pwettynxde ayoo kita fish bareng tertawa,pwettynxde ayoo kita fish bareng tertawa,pwettynxde ayoo bareng tawa,positive,pwettynxde ayoo bareng tawa,,0.5653591394537107
wkkwkw ada yang donate dari server fish https //t.co/cusgkxlcxn,wkkwkw ada yang donate dari server fish https //t.co/cusgkxlcxn,wkkwkw donate server cusgkxlcxn,positive,wkkwkw donate server cusgkxlcxn,,0.48608507435451803
nyoba afk fish pake acc baru ^__^ kalau wangi aku mainin acc nga,nyoba afk fish pake acc baru ^__^ kalau wangi aku mainin acc nga,coba away from keyboard pakai account bagus mainin account nga,negative,coba away from keyboard pakai account bagus mainin account nga,,0.38001352139536765
looking for friend amp moots roblox aku biasanya main gunung gag fish evade amp amp also map voice feel free untuk ajak aku main drop usn nanti aku add https //t.co/1eh4dljss5,looking for friend amp moots roblox aku biasanya main gunung gag fish evade amp amp also map voice feel free untuk ajak aku main drop usn nanti aku add https //t.co/1eh4dljss5,looking for friend moots roblox main gunung evade also map voice feel free ajak main drop usn add dljss,positive,looking for friend moots roblox main gunung evade also map voice feel free ajak main drop usn add dljss,,0.5918772744526103
