full_text,case_folding CPMK2,preprocessing CPMK3,label
noturexboyfie fish berubah jadi obby kah,noturexboyfie fish berubah jadi obby kah,noturexboyfie ubah obby,nan
apesi serunya fish org pada gila fish https //t.co/bn08qmy22b,apesi serunya fish org pada gila fish https //t.co/bn08qmy22b,apes seru orang gila qmy,nan
want ask guys pulau buat grinding yang ikannya mahal fish pulau mana,want ask guys pulau buat grinding yang ikannya mahal fish pulau mana,want ask pulau grinding ikan mahal pulau,nan
anjer kok fish aku belum ada pulau barunyaarghh,anjer kok fish aku belum ada pulau barunyaarghh,anjer pulau barunyaarghh,nan
ikan secret fish dong~,ikan secret fish dong~,secret,nan
anjing lompat fish aje gwe masih remed sampai gagal masuk underground,anjing lompat fish aje gwe masih remed sampai gagal masuk underground,lompat aje gwe remed gagal masuk underground,nan
ladysiaint lalysfa_ saveyourthears sorry agak kasar sblmnya gue kasian sama org2 yang dibegoin temen kalau katanya kohana lava dinerf jgn katanya2 sudah kata gue mending gabung discord fish biar tau kasian soalnya kalian nanti nyari coin karna kata temen lokasi ini dinerf alhasil gamaksimal dapet koinnya,ladysiaint lalysfa_ saveyourthears sorry agak kasar sblmnya gue kasian sama org2 yang dibegoin temen kalau katanya kohana lava dinerf jgn katanya2 sudah kata gue mending gabung discord fish biar tau kasian soalnya kalian nanti nyari coin karna kata temen lokasi ini dinerf alhasil gamaksimal dapet koinnya,ladysiaint lalysfa saveyourthears sorry kasar sblmnya kasi orang dibegoin teman kohana lava dinerf gabung discord kasi cari coin teman lokasi dinerf alhasil gamaksimal koin,positive
fish uda bisa trade mau baru enchant dong,fish uda bisa trade mau baru enchant dong,trade enchant,nan
txtfromroblox ayo ayoo aku sering muncakk tapi tidak main fish,txtfromroblox ayo ayoo aku sering muncakk tapi tidak main fish,ayoo muncakk main,nan
lemperkucing fish sayang banget sama kamu,lemperkucing fish sayang banget sama kamu,lemperkucing sayang,positive
ladysiaint saveyourthears tidak valid ini tertawa kohana lava masi tetep yang paling bagus buat grinding kalau belum punya pancingan sekelas astral/hazmat keatas temenlu penghuni fish karbitan berarti,ladysiaint saveyourthears tidak valid ini tertawa kohana lava masi tetep yang paling bagus buat grinding kalau belum punya pancingan sekelas astral/hazmat keatas temenlu penghuni fish karbitan berarti,ladysiaint saveyourthears valid tawa kohana lava mas tetep bagus grinding pancing kelas astral hazmat atas temenlu huni karbitan,positive
update fish ribet banget sudah masalahnya ikan secret gue dikit njir kalau gue korbanin belum tentu gue dapet lagi lon talon,update fish ribet banget sudah masalahnya ikan secret gue dikit njir kalau gue korbanin belum tentu gue dapet lagi lon talon,update ribet secret dikit njir korbanin lon talon,nan
amourelies iya aku suka main fish sih ini siapa,amourelies iya aku suka main fish sih ini siapa,amourelies suka main,nan
fish tuh yang dicari apa sih tuhan tidak ngerti,fish tuh yang dicari apa sih tuhan tidak ngerti,cari tuhan ngerti,nan
cipolaci seharusnya tidak karna bakal sesusah itu cuma buat buka templenya doang tiap ganti server yang ada talon jadi buron anak2 fish anjing kalau sampai gitu,cipolaci seharusnya tidak karna bakal sesusah itu cuma buat buka templenya doang tiap ganti server yang ada talon jadi buron anak2 fish anjing kalau sampai gitu,cipolaci susah buka templenya ganti server talon buron anak,nan
apalah sender ini mau gag atau fish ntar juga ada game lain yang rame dan banyak yang bahas kalau kamu tidak nyaman ada opsi mute kata fish dsb daripada ngeributin menfess yang lagi rame,apalah sender ini mau gag atau fish ntar juga ada game lain yang rame dan banyak yang bahas kalau kamu tidak nyaman ada opsi mute kata fish dsb daripada ngeributin menfess yang lagi rame,apa ntar game ramai bahas nyaman opsi mute ngeributin menfess ramai,neutral
yang device tua renta jangan coba2 afk fish berhari2 tolong sayangi device drpd secret scam itu aku korban talon ygy device sudah service,yang device tua renta jangan coba2 afk fish berhari2 tolong sayangi device drpd secret scam itu aku korban talon ygy device sudah service,device tua renta coba away from keyboard hari sayang device drpd secret scam korban talon ygy device service,nan
kotoran lah makin tidak mood gue main fish habis liat updatenya,kotoran lah makin tidak mood gue main fish habis liat updatenya,kotor mood main habis lihat updatenya,nan
venantiuz_ ini serius tidak ada bahasan lain selain fish,venantiuz_ ini serius tidak ada bahasan lain selain fish,venantiuz serius bahas,nan
dnozauruz jiakh jadi sultan fish,dnozauruz jiakh jadi sultan fish,dnozauruz jiakh sultan,positive
achyeron kasian banget anjing kena gocek patung fish,achyeron kasian banget anjing kena gocek patung fish,achyeron kasi gocek patung,nan
ada yang mau boost fish sore ini kalau mau reply aja,ada yang mau boost fish sore ini kalau mau reply aja,boost sore reply,nan
lost the spark sama fish aja sih,lost the spark sama fish aja sih,lost the spark,nan
gue lagi zoom sampai tidak fokus perkara fish gila,gue lagi zoom sampai tidak fokus perkara fish gila,zoom fokus perkara gila,nan
dua bulan main fish dpt hikmahnya doang,dua bulan main fish dpt hikmahnya doang,main hikmah,nan
omak mulai nagih main fish,omak mulai nagih main fish,omak nagih main,positive
pulau baru fish bagus minusnya kenapa harus ada ular,pulau baru fish bagus minusnya kenapa harus ada ular,pulau bagus minus ular,neutral
taloonn kebangetan banget kamu knp malah kamu bawa parkour gunung fish sih tlg ini ramah buat dontol seperti aku mana kalau nyebur balik nya pulau utama lagi https //t.co/4hmqowt2rj,taloonn kebangetan banget kamu knp malah kamu bawa parkour gunung fish sih tlg ini ramah buat dontol seperti aku mana kalau nyebur balik nya pulau utama lagi https //t.co/4hmqowt2rj,taloonn banget bawa parkour gunung tlg ramah dontol nyebur pulau utama hmqowt,nan
seruu banget anjing update fish banyakk questnyaa,seruu banget anjing update fish banyakk questnyaa,seruu update banyakk questnyaa,positive
chasnted temple eye kan juga ada buayaa mossjaw belom aku yang forgotten temple aku tidak main fish tidak ngerti,chasnted temple eye kan juga ada buayaa mossjaw belom aku yang forgotten temple aku tidak main fish tidak ngerti,chasnted temple eye buayaa mossjaw forgotten temple main ngerti,nan
terakhir gabisa bikin trend narik kraken aku sudah fase pasrah juga bikin trend kinyis kinyis sama patung fish https //t.co/p5a3rxkctc,terakhir gabisa bikin trend narik kraken aku sudah fase pasrah juga bikin trend kinyis kinyis sama patung fish https //t.co/p5a3rxkctc,tidak bisa trend tarik kraken fase pasrah trend kinclong kinclong patung rxkctc,nan
gift games fish nanti lanjut lagi tadi ada yang beruntung gatcha skin pancingan mystery dapet mitos,gift games fish nanti lanjut lagi tadi ada yang beruntung gatcha skin pancingan mystery dapet mitos,gift games untung gatcha skin pancing mystery mitos,nan
fish cuma avanya doang yang orgnya engga biasanya main gag tower gunung https //t.co/qid49ct90h,fish cuma avanya doang yang orgnya engga biasanya main gag tower gunung https //t.co/qid49ct90h,avanya orgnya main tower gunung qid,nan
ini ngapa temen2 gue gila fish yak,ini ngapa temen2 gue gila fish yak,ngapa teman gila yak,nan
overwhelmed sekali sptnya akan rehat sosmed dan roblok dan akan afk fish aja seharian utk beberapa waktu kedepan,overwhelmed sekali sptnya akan rehat sosmed dan roblok dan akan afk fish aja seharian utk beberapa waktu kedepan,overwhelmed sptnya rehat sosmed roblok away from keyboard hari depan,nan
soulsthirst bodoamat tidak peduli aku abang afk fish apa bagaimana,soulsthirst bodoamat tidak peduli aku abang afk fish apa bagaimana,soulsthirst bodoamat peduli abang away from keyboard,nan
lagii padaa ngekost ginii yangg satuu fish yangg satuu salonn https //t.co/fsrpowqcra,lagii padaa ngekost ginii yangg satuu fish yangg satuu salonn https //t.co/fsrpowqcra,lagi padaa ngekost ginii yangg satuu yangg satuu salonn fsrpowqcra,nan
sudah pensiun fish diangkut tidak,sudah pensiun fish diangkut tidak,pensiun angkut,nan
berontak pulau mana ini jirr rest hari fish sudah ada yang baru aje,berontak pulau mana ini jirr rest hari fish sudah ada yang baru aje,berontak pulau jirr rest aje,nan
aku suka main fish ayo temenann,aku suka main fish ayo temenann,suka main temenann,positive
hello looking for new moots yang tidak masalah kalau akun gue masih kecil especially yang suka main fish sama mendaki please ayo temenan roblox,hello looking for new moots yang tidak masalah kalau akun gue masih kecil especially yang suka main fish sama mendaki please ayo temenan roblox,hello looking for new moots akun especially suka main daki please temenan roblox,nan
fish nambah pulau tapi gue belom dikasih secret lagi sama talon kikir,fish nambah pulau tapi gue belom dikasih secret lagi sama talon kikir,nambah pulau kasih secret talon kikir,nan
kok map fish aku gabisa dibuka ada yang taww tak,kok map fish aku gabisa dibuka ada yang taww tak,map tidak bisa buka taww,nan
daegunxml forgotten temple kak bukan fish,daegunxml forgotten temple kak bukan fish,daegunxml forgotten temple,nan
roblox ada yang ngalamin juga pancingan ilang per updatean baru fish solusinya bagaimana coba drop komentar https //t.co/9mqttjnzuh,roblox ada yang ngalamin juga pancingan ilang per updatean baru fish solusinya bagaimana coba drop komentar https //t.co/9mqttjnzuh,roblox ngalamin pancing ilang updatean solusi coba drop komentar mqttjnzuh,nan
gamau main fish lagi ahh mending dress impress,gamau main fish lagi ahh mending dress impress,main ahh dress impress,nan
lama tidak main fish sekalinya masuk banyak bug anjing,lama tidak main fish sekalinya masuk banyak bug anjing,main sekali masuk bug,nan
seru updatean fish kali ini yeah tapi gue muak,seru updatean fish kali ini yeah tapi gue muak,seru updatean yeah muak,neutral
boleh juga ini fish update nya,boleh juga ini fish update nya,update,positive
trade fish kapan bisa lagi guys,trade fish kapan bisa lagi guys,trade,nan
gusy tunjukin bentuk batu lever fish dong apakah nnti munculnya item kaya enchant batu roblox,gusy tunjukin bentuk batu lever fish dong apakah nnti munculnya item kaya enchant batu roblox,gusy tunjukin bentuk batu lever nnti muncul item kaya enchant batu roblox,nan
want ask guccy buat fish ini kenapa perahu burger tidak bisa spawn https //t.co/uhr9kdo2xn,want ask guccy buat fish ini kenapa perahu burger tidak bisa spawn https //t.co/uhr9kdo2xn,want ask guccy perahu burger spawn uhr kdo,nan
ajarin fish tolong https //t.co/qbi2bdapo3,ajarin fish tolong https //t.co/qbi2bdapo3,ajarin qbi bdapo,nan
bahaya ini fish,bahaya ini fish,bahaya,nan
banget liat updatean fish ada pancingan baru tapi harus dpt ghostfin laahh aku ghostfin aja belum dapet,banget liat updatean fish ada pancingan baru tapi harus dpt ghostfin laahh aku ghostfin aja belum dapet,lihat updatean pancing ghostfin laahh ghostfin,nan
jgn lupa reedem code fish adik adik,jgn lupa reedem code fish adik adik,lupa reedem code adik adik,positive
abis liat orang lagi nikah pelaminan tetep afk fish,abis liat orang lagi nikah pelaminan tetep afk fish,habis lihat orang nikah pelamin tetep away from keyboard,nan
mending jgn main fish sender,mending jgn main fish sender,main,nan
ninningg iya soalnya sudah biasa menyebar hobi mancing fish pingin cari yang beda,ninningg iya soalnya sudah biasa menyebar hobi mancing fish pingin cari yang beda,ninningg sebar hobi pancing pingin cari beda,neutral
tidak mereun yakali anjing main rosblok mana sering stay fish https //t.co/ivd7efjvik,tidak mereun yakali anjing main rosblok mana sering stay fish https //t.co/ivd7efjvik,mereun yakali main rosblok stay ivd efjvik,nan
avrcherry dyinstorms mau kesana kaah aku belum masuk fish lagii tertawa lucu tapi itu,avrcherry dyinstorms mau kesana kaah aku belum masuk fish lagii tertawa lucu tapi itu,avrcherry dyinstorms kesana kaah masuk lagi tawa lucu,nan
mencoba memberikan second chance fish awas aja sampai kamu mengecewakan aku lagi talon,mencoba memberikan second chance fish awas aja sampai kamu mengecewakan aku lagi talon,coba second chance awas kecewa talon,nan
euchnoia avrcherry map baru itu tadi lihat update fish belum explore deh,euchnoia avrcherry map baru itu tadi lihat update fish belum explore deh,euchnoia avrcherry map lihat update explore,nan
euchnoia dyinstorms cuman loop ini aja yang lagi bahas roblox sekalian beb wkwkwkwk ada maps baru fish gituu,euchnoia dyinstorms cuman loop ini aja yang lagi bahas roblox sekalian beb wkwkwkwk ada maps baru fish gituu,euchnoia dyinstorms loop bahas roblox beb wkwkwkwk maps gituu,nan
want ask ini map fish basru yang underground cellar sempet kebuka kok sekarang ketutup lagi,want ask ini map fish basru yang underground cellar sempet kebuka kok sekarang ketutup lagi,want ask map basru underground cellar sempet buka tutup,nan
ini kapan bisa trade sudah fish,ini kapan bisa trade sudah fish,trade,nan
ouseaann kamu dedemit fish,ouseaann kamu dedemit fish,ouseaann dedemit,nan
gue sampai cari tutorial ngasih ikan fish tiktok ‍️‍️‍️,gue sampai cari tutorial ngasih ikan fish tiktok ‍️‍️‍️,cari tutorial ngasih tiktok,nan
gumoh banget anjing main fish,gumoh banget anjing main fish,gumoh main,nan
anjing kapan trade fish ini bisa lagi mau gila anjing afk nyari duit mana isle kgk pulang2,anjing kapan trade fish ini bisa lagi mau gila anjing afk nyari duit mana isle kgk pulang2,trade gila away from keyboard cari duit isle kgk pulang,nan
aku sudah dua kali mimpi fish,aku sudah dua kali mimpi fish,mimpi,nan
alamak main tidak mood main fish misi ghostfin aja belom kelar kelar,alamak main tidak mood main fish misi ghostfin aja belom kelar kelar,alamak main mood main misi ghostfin kelar kelar,nan
fineshyiit itu buka fish,fineshyiit itu buka fish,fineshyiit buka,nan
roblox fish artifactnya ini sekali pake sekali masuk atau cuma sekali cari/taruh untuk selamanya,roblox fish artifactnya ini sekali pake sekali masuk atau cuma sekali cari/taruh untuk selamanya,roblox artifactnya pakai masuk cari taruh,nan
kapan bisa dapet secret fish,kapan bisa dapet secret fish,secret,nan
etnfp aku juga masih tapi sudah lama tidak aku mainin fish,etnfp aku juga masih tapi sudah lama tidak aku mainin fish,etnfp mainin,nan
main aja kalau mau mah sender bebas mau fish atau fisch karena aku mainnya fish aku bisa bilang kalau akun baru malah banyak yang lebih beruntung,main aja kalau mau mah sender bebas mau fish atau fisch karena aku mainnya fish aku bisa bilang kalau akun baru malah banyak yang lebih beruntung,main bebas fisch main bilang akun untung,neutral
sudah pensiun fish kak,sudah pensiun fish kak,pensiun,nan
ini kepala stres banget mainin fish apa gue potong aja kepalanya,ini kepala stres banget mainin fish apa gue potong aja kepalanya,kepala stres mainin potong kepala,nan
kena penyakit mancing gila fish,kena penyakit mancing gila fish,sakit pancing gila,nan
roblox yang main fish bolehkah angkut aku privat server kalian yang rajin nyalain cuaca ges sebel banget ternyata sender server sama yang pake script,roblox yang main fish bolehkah angkut aku privat server kalian yang rajin nyalain cuaca ges sebel banget ternyata sender server sama yang pake script,roblox main angkut privat server rajin nyala cuaca ges sebel server pakai script,nan
ayoo kalau sibuk main fish kalau luang lebih seru grinding fisch fish tidak ada telatnya sihh kalau fisch ada bbrp pancingan yang sudah tidak obtainable minusnya,ayoo kalau sibuk main fish kalau luang lebih seru grinding fisch fish tidak ada telatnya sihh kalau fisch ada bbrp pancingan yang sudah tidak obtainable minusnya,ayoo sibuk main luang seru grinding fisch telat sihh fisch bbrp pancing obtainable minus,nan
sejam telponan sama arthur obrolin stock pasar fish,sejam telponan sama arthur obrolin stock pasar fish,jam telpon arthur obrolin stock pasar,nan
kayanya aku gbkal bisa pensiun fish deh nyandu banget walau setres ‍️‍️,kayanya aku gbkal bisa pensiun fish deh nyandu banget walau setres ‍️‍️,kaya gbkal pensiun nyandu tres,neutral
fish sudah bisa trade belum guys,fish sudah bisa trade belum guys,trade,nan
sudah tidak tertarik main fish lagi,sudah tidak tertarik main fish lagi,tarik main,nan
fish ada map baruu,fish ada map baruu,map,positive
ini gwe bngtt seperti sudah aja kali main fish ini capee kali allah mau fokus joget joget aja aku,ini gwe bngtt seperti sudah aja kali main fish ini capee kali allah mau fokus joget joget aja aku,gwe bngtt main capee allah fokus joget joget,nan
day main fish bismillah hari ini dapet secret https //t.co/vzxsrcg866,day main fish bismillah hari ini dapet secret https //t.co/vzxsrcg866,day main bismillah secret vzxsrcg,positive
lah fish ada pulau baru terus ada quest nya,lah fish ada pulau baru terus ada quest nya,pulau quest,nan
fish map baruu,fish map baruu,map,nan
saatnya kambek fish,saatnya kambek fish,kambek,positive
tinggal diblokir aja gasih keyword fish dari twitter kalian masyaallah apa-apa diributin bagaimana sender orang gamenya lagi rame fish tidak lama juga pasti bakalan keganti sama game lain,tinggal diblokir aja gasih keyword fish dari twitter kalian masyaallah apa-apa diributin bagaimana sender orang gamenya lagi rame fish tidak lama juga pasti bakalan keganti sama game lain,tinggal blokir gasih keyword twitter masyaallah diributin orang gamenya ramai ganti game,neutral
otw gila fish lagi soalnya ada pulau baru lagi,otw gila fish lagi soalnya ada pulau baru lagi,otw gila pulau,neutral
selfiqsh info dong aku udahan main fish game rusak,selfiqsh info dong aku udahan main fish game rusak,selfiqsh informasi udahan main game rusak,nan
pengen nyoba main fish tapi akuu tidak mudeng,pengen nyoba main fish tapi akuu tidak mudeng,ken coba main akuu mudeng,neutral
fish sudah masuk mimpi️ mimpi narik secret,fish sudah masuk mimpi️ mimpi narik secret,masuk mimpi mimpi tarik secret,nan
beban hidup gue nambah satu krna ada obby fish anjrlsshh infokan cara jago loncat,beban hidup gue nambah satu krna ada obby fish anjrlsshh infokan cara jago loncat,beban hidup nambah obby anjrlsshh info jago loncat,nan
kocak banget satu friendlist fish semua https //t.co/faxyp1ygia,kocak banget satu friendlist fish semua https //t.co/faxyp1ygia,kocak friendlist faxyp ygia,nan
aku ada buat tentang rangkuman fish new update tiktok gezz sebenernya lebih tentang pancingan baru sama quest lever buat buka sacred temple https //t.co/qnhhqxaa4h,aku ada buat tentang rangkuman fish new update tiktok gezz sebenernya lebih tentang pancingan baru sama quest lever buat buka sacred temple https //t.co/qnhhqxaa4h,rangkum new update tiktok gezz sebenernya pancing quest lever buka sacred temple qnhhqxaa,nan
halloo disini ada yang main fish dan mau advanced luck tidak aku sempet nazar kalau dpt secret sisyphus mau kasih robux atau salah satu yang ada exclusive store orang lain,halloo disini ada yang main fish dan mau advanced luck tidak aku sempet nazar kalau dpt secret sisyphus mau kasih robux atau salah satu yang ada exclusive store orang lain,halloo main advanced luck sempet nazar secret sisyphus robux salah exclusive store orang,nan
semoga gacor slalu fish cintaku https //t.co/nw9609scgx,semoga gacor slalu fish cintaku https //t.co/nw9609scgx,gacor slalu cinta scgx,positive
fish=ikan it=itu fish justru itu letak stres nya,fish=ikan it=itu fish justru itu letak stres nya,letak stres,nan
butuh tour guide map baru fish,butuh tour guide map baru fish,butuh tour guide map,nan
excited dengan updatean fish anjenk ikannya unik-unik brengsekk,excited dengan updatean fish anjenk ikannya unik-unik brengsekk,excited updatean anjenk ikan unik unik brengsekk,positive
hattamaulana07 nda bisa tertawa bukan fish ini kan dia ada bar lapernyaa,hattamaulana07 nda bisa tertawa bukan fish ini kan dia ada bar lapernyaa,hattamaulana nda tawa bar lapernyaa,nan
mrgeneraal sudah kena penyakit fish,mrgeneraal sudah kena penyakit fish,mrgeneraal sakit,nan
gembel makin sulit aja hidup fish,gembel makin sulit aja hidup fish,gembel sulit hidup,nan
lucu juga ini ikan mitos fish baru tertawa https //t.co/uoievgtxk7,lucu juga ini ikan mitos fish baru tertawa https //t.co/uoievgtxk7,lucu mitos tawa uoievgtxk,positive
fish makin susah aja sihh gpp gue main dengan santai tdk mengejar ikan ikan secret talon itu,fish makin susah aja sihh gpp gue main dengan santai tdk mengejar ikan ikan secret talon itu,susah sihh gpp main santai tdk kejar secret talon,neutral
cutelattesz idk aku juga pernah semingguan main fish terus sampai akhirnya muak sendiri,cutelattesz idk aku juga pernah semingguan main fish terus sampai akhirnya muak sendiri,cutelattesz idk minggu main muak,nan
iyakan seru banget gilaa siapa yang blg fish tidak seruu,iyakan seru banget gilaa siapa yang blg fish tidak seruu,iya seru gilaa blg seruu,positive
jika ada tema fish bangunin opa,jika ada tema fish bangunin opa,tema bangunin opa,nan
game gila apa gue pensiun aja dari fish https //t.co/7kvmvds251,game gila apa gue pensiun aja dari fish https //t.co/7kvmvds251,game gila pensiun kvmvds,nan
bisa naik gunung belum tentu bisa parkour fish wkowwkwowkwo,bisa naik gunung belum tentu bisa parkour fish wkowwkwowkwo,gunung parkour wkowwkwowkwo,nan
ges roblox ada yang tau lokasi sacred temple fish thx,ges roblox ada yang tau lokasi sacred temple fish thx,ges roblox lokasi sacred temple thx,nan
info update terbaru baru fish masuk dulu map ancient jungle buat double enchant lokasinya ada temple pintu biru dari pintu belok kanan terus naik tangga situ ada npc tinggal ajak ngobrol kasih secret terus bisa langsung enchant sebelahnya,info update terbaru baru fish masuk dulu map ancient jungle buat double enchant lokasinya ada temple pintu biru dari pintu belok kanan terus naik tangga situ ada npc tinggal ajak ngobrol kasih secret terus bisa langsung enchant sebelahnya,informasi update baru masuk map ancient jungle double enchant lokasi temple pintu biru pintu belok kanan tangga situ npc tinggal ajak ngobrol secret langsung enchant belah,nan
udahlah malas main fish sudah susah secret naik ini double enchant malah ngorbanin secret talon asu babi,udahlah malas main fish sudah susah secret naik ini double enchant malah ngorbanin secret talon asu babi,udahlah malas main susah secret double enchant ngorbanin secret talon asu babi,nan
ini seputar tutorial update fish terbaru gais dapet dari discord warga indo dcnya pis tapi tetep aja aku hah hoh buta arah menunggu tutor orang tiktok ajala aku https //t.co/auc9sucnqh,ini seputar tutorial update fish terbaru gais dapet dari discord warga indo dcnya pis tapi tetep aja aku hah hoh buta arah menunggu tutor orang tiktok ajala aku https //t.co/auc9sucnqh,putar tutorial update baru gais discord warga indo dcnya pis tetep hah hoh buta arah tunggu tutor orang tiktok ajala auc sucnqh,nan
tadi bangun tidur terus scroll tiktok dan lewat fyp ternyata sudah update fish yang double enchant,tadi bangun tidur terus scroll tiktok dan lewat fyp ternyata sudah update fish yang double enchant,bangun tidur scroll tiktok fyp update double enchant,nan
pipsquack_ ogah gue kena penyakit fish gila,pipsquack_ ogah gue kena penyakit fish gila,pipsquack ogah sakit gila,nan
beneran tamat fish gue tidak segila itu buat bikin alt account afk jam demi secret,beneran tamat fish gue tidak segila itu buat bikin alt account afk jam demi secret,beneran tamat gila alt account away from keyboard jam secret,nan
fish ada yang tau lever buat buka gerbang jungle,fish ada yang tau lever buat buka gerbang jungle,lever buka gerbang jungle,nan
main fish kalau ada quest baru aja questnya https //t.co/klgweaihf2,main fish kalau ada quest baru aja questnya https //t.co/klgweaihf2,main quest questnya klgweaihf,neutral
informasi update terbaru game fish roblox pulau baru misi baru ikan baru fitur baru enchant baru misi baru yang dalem goa harus sudah punya ghostfinn https //t.co/7ewkihh4yu,informasi update terbaru game fish roblox pulau baru misi baru ikan baru fitur baru enchant baru misi baru yang dalem goa harus sudah punya ghostfinn https //t.co/7ewkihh4yu,informasi update baru game roblox pulau misi fitur enchant misi dalem goa ghostfinn ewkihh,nan
new update fish seru banget jirr tapi jiwa ini harus istirahat dulu,new update fish seru banget jirr tapi jiwa ini harus istirahat dulu,new update seru jirr jiwa istirahat,neutral
absen siapa yang sudah double enchant fish roblox dapetnya apa guys https //t.co/azzvxkzzbf,absen siapa yang sudah double enchant fish roblox dapetnya apa guys https //t.co/azzvxkzzbf,absen double enchant roblox dapetnya azzvxkzzbf,nan
sampai fish update pulau baru secret belum naek naek guah,sampai fish update pulau baru secret belum naek naek guah,update pulau secret naek naek guah,nan
pagi pagi misuhin fish,pagi pagi misuhin fish,pagi pagi misuhin,nan
winddliner lebih penting evernight daripada konten fish,winddliner lebih penting evernight daripada konten fish,winddliner evernight konten,nan
fish uda bisa trade kah,fish uda bisa trade kah,trade,nan
lautisocean wkwkw semua demi fish,lautisocean wkwkw semua demi fish,lautisocean wkwkw,nan
ini cara bacanya bagaimana sih teman teman maaf player baru fish,ini cara bacanya bagaimana sih teman teman maaf player baru fish,baca teman teman maaf player,neutral
illbitcozycrew i_m_cacas kak 6pm fish kebuka,illbitcozycrew i_m_cacas kak 6pm fish kebuka,illbitcozycrew i m cacas buka,nan
pengen cepet nyampe kantorr mau main fish,pengen cepet nyampe kantorr mau main fish,ken cepet nyampe kantorr main,positive
pake baju daleman bagaimana biar fish pake baju,pake baju daleman bagaimana biar fish pake baju,pakai baju dalem pakai baju,nan
wow bisa enchant double sekarang fish kren btul,wow bisa enchant double sekarang fish kren btul,wow enchant double kren btul,positive
fish banyak banget konten https //t.co/luetkfcfyp,fish banyak banget konten https //t.co/luetkfcfyp,konten luetkfcfyp,nan
nama kapal baru fish sharki seperti kenal tidak sih tertawa,nama kapal baru fish sharki seperti kenal tidak sih tertawa,nama kapal sharki kenal tawa,nan
fish ngincer secret doang,fish ngincer secret doang,ngincer secret,neutral
roblox ges ini kenapa aku gabisa join fish padahal tidak ngapa2in cuman afk doang talon kocakk https //t.co/q0dmhsoyay,roblox ges ini kenapa aku gabisa join fish padahal tidak ngapa2in cuman afk doang talon kocakk https //t.co/q0dmhsoyay,roblox ges tidak bisa join ngapa away from keyboard talon kocakk dmhsoyay,nan
illbitcozycrew i_m_cacas ini fish sudah petang pintu masih tutup,illbitcozycrew i_m_cacas ini fish sudah petang pintu masih tutup,illbitcozycrew i m cacas petang pintu tutup,nan
mylifeascarat i_m_cacas iya kahh soalnya aku juga belum keluar ini kakk katanya tadi ada yang bilang bukanya pas malam aja tapi tidak tau malam jam fish apa jam malam dikita,mylifeascarat i_m_cacas iya kahh soalnya aku juga belum keluar ini kakk katanya tadi ada yang bilang bukanya pas malam aja tapi tidak tau malam jam fish apa jam malam dikita,mylifeascarat i m cacas kahh bilang buka malam malam jam jam malam kita,nan
aku sebenarnya tidak keberatan sih tapi karna tidak main fish jadinya kurang ngerti tertawa,aku sebenarnya tidak keberatan sih tapi karna tidak main fish jadinya kurang ngerti tertawa,berat main ngerti tawa,neutral
fish seru banget anjing roblox,fish seru banget anjing roblox,seru roblox,positive
guyss ini kenapa aku gabisa join fish sedih https //t.co/4tsa5mmsud,guyss ini kenapa aku gabisa join fish sedih https //t.co/4tsa5mmsud,guyss tidak bisa join sedih tsa mmsud,nan
pantes suka fish soalnya basicnya mengadu nasib gitu iykyk,pantes suka fish soalnya basicnya mengadu nasib gitu iykyk,pantes suka basicnya adu nasib iykyk,nan
roblox pas jaman2 gag kemarin kyknya banyak yang protes karena isi base gag semua boleh tidak kalau diterapinndi fish yang mau cari temen/info main bareng ketimbun karena dikit2 fish,roblox pas jaman2 gag kemarin kyknya banyak yang protes karena isi base gag semua boleh tidak kalau diterapinndi fish yang mau cari temen/info main bareng ketimbun karena dikit2 fish,roblox jaman kemarin kyknya protes isi base diterapinndi cari teman informasi main bareng timbun dikit,nan
semua orang main fish,semua orang main fish,orang main,nan
helpp aku ketagihan main fish,helpp aku ketagihan main fish,helpp tagih main,neutral
akan aku daki semua gunung demi menghindari fish,akan aku daki semua gunung demi menghindari fish,gunung hindar,nan
siapa yang pagi pagi diajak mancing cobain update fish https //t.co/przaobfbdq,siapa yang pagi pagi diajak mancing cobain update fish https //t.co/przaobfbdq,pagi pagi ajak pancing cobain update przaobfbdq,positive
fish crocodile mutasi petir cakep banget oikk,fish crocodile mutasi petir cakep banget oikk,crocodile mutasi petir cakep oikk,positive
bagaimana cara masuk update baruu temple fish roblox guyss,bagaimana cara masuk update baruu temple fish roblox guyss,masuk update temple roblox guyss,nan
ini deh info dari temen temen discord fish https //t.co/rgjgd3vy9q,ini deh info dari temen temen discord fish https //t.co/rgjgd3vy9q,informasi teman teman discord rgjgd,positive
fish roblox kok ini kapal malah melayang pas mau spawn https //t.co/9q8rwmlsrm,fish roblox kok ini kapal malah melayang pas mau spawn https //t.co/9q8rwmlsrm,roblox kapal layang spawn rwmlsrm,nan
fish gehelo lever done ges yakk https //t.co/mqriswylzm,fish gehelo lever done ges yakk https //t.co/mqriswylzm,gehelo lever done ges yakk mqriswylzm,nan
cara masuk kuil pulau baru fish bagaimana sih gusy tuasnyaa dimana tempatnya roblox,cara masuk kuil pulau baru fish bagaimana sih gusy tuasnyaa dimana tempatnya roblox,masuk kuil pulau gusy tuasnyaa tempat roblox,nan
mari afk fish lagi part,mari afk fish lagi part,away from keyboard part,neutral
pengen nyoba fish takut kecanduan beli skin pancingan,pengen nyoba fish takut kecanduan beli skin pancingan,ken coba takut candu beli skin pancing,neutral
